Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"27","primary-keys","primary-key","2010-07-16 00:32:08","17174","3","2015-11-27 13:51:32","0","17174","2010-07-16 00:32:08"
"28","foreign-key","foreign-keys","2010-07-16 00:33:09","17174","262","2017-05-30 14:15:36","0","17174","2010-07-16 00:33:09"
"29","postgres","postgresql","2010-07-16 00:37:27","17174","4024","2017-06-09 16:37:31","0","17174","2010-07-16 00:37:27"
"30","macosx","osx","2010-07-16 01:05:40","13531","2237","2017-06-07 04:25:56","0","13531","2010-07-16 01:05:40"
"32","j2me","java-me","2010-07-16 01:12:15","13531","3454","2017-04-06 11:54:36","0","13531","2010-07-16 01:12:15"
"33","ie","internet-explorer","2010-07-16 02:35:11","1228","5517","2017-06-09 10:08:07","0","1228","2010-07-16 02:35:11"
"34","msie","internet-explorer","2010-07-16 02:35:42","1228","64","2017-01-19 19:24:30","0","1228","2010-07-16 02:35:42"
"35","applets","applet","2010-07-16 15:51:08","1288","130","2017-05-08 12:27:31","0","1288","2010-07-16 15:51:08"
"38","ejb-3","ejb-3.0","2010-07-16 15:51:08","1288","7","2016-09-12 15:00:04","0","1288","2010-07-16 15:51:08"
"45","glassfish-v3","glassfish-3","2010-07-16 15:51:08","1288","7","2017-01-11 08:44:51","0","1288","2010-07-16 15:51:08"
"53","java-5.0","java-5","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"56","java-6.0","java-6","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"59","java-7.0","java-7","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"62","jee","java-ee","2010-07-16 15:51:08","1288","1700","2017-06-10 06:25:08","0","1288","2010-07-16 15:51:08"
"67","jee-5","java-ee-5","2010-07-16 15:51:08","1288","7","2011-07-14 15:45:15","0","1288","2010-07-16 15:51:08"
"72","jee-6","java-ee-6","2010-07-16 15:51:08","1288","57","2016-03-07 10:47:00","0","1288","2010-07-16 15:51:08"
"75","java.io","java-io","2010-07-16 15:51:08","1288","71","2017-06-10 23:53:22","0","1288","2010-07-16 15:51:08"
"79","jpa-2","jpa-2.0","2010-07-16 15:51:08","1288","52","2016-11-23 15:18:08","0","1288","2010-07-16 15:51:08"
"83","jsf2.0","jsf-2","2010-07-16 15:51:08","1288","325","2017-05-24 15:43:32","0","1288","2010-07-16 15:51:08"
"84","jsp-tag","jsp-tags","2010-07-16 15:51:08","1288","4","2014-08-19 22:29:14","0","1288","2010-07-16 15:51:08"
"85","jsp-tag-files","jsp-tags","2010-07-16 15:51:08","1288","4","2016-04-10 17:20:55","0","1288","2010-07-16 15:51:08"
"88","jsp-fragment","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"90","jsp-f","jsp-fragments","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"91","jspf","jsp-fragments","2010-07-16 15:51:08","1288","33","2016-01-13 10:42:11","0","1288","2010-07-16 15:51:08"
"93","servlet","servlets","2010-07-16 15:51:08","1288","7052","2017-06-10 21:36:48","0","1288","2010-07-16 15:51:08"
"95","servlet-filter","servlet-filters","2010-07-16 15:51:08","1288","64","2015-11-06 14:30:04","0","1288","2010-07-16 15:51:08"
"98","tomcat-5","tomcat-5.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"102","tomcat-6","tomcat-6.0","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"105","weblogic-8","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"107","weblogic-8.1","weblogic-8.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"113","weblogic-10","weblogic-10.x","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"114","weblogic10.x","weblogic-10.x","2010-07-16 15:51:08","1288","39","2014-10-09 06:42:06","0","1288","2010-07-16 15:51:08"
"116","weblogic-11","weblogic-11g","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"118","eclipse-ganymede","eclipse-3.4","2010-07-16 15:51:08","1288","2","2010-11-17 07:37:55","0","1288","2010-07-16 15:51:08"
"119","eclipse-galileo","eclipse-3.5","2010-07-16 15:51:08","1288","30","2013-04-28 16:21:51","0","1288","2010-07-16 15:51:08"
"120","eclipse-helios","eclipse-3.6","2010-07-16 15:51:08","1288","136","2015-03-02 09:59:15","0","1288","2010-07-16 15:51:08"
"124","msvc++","visual-c++","2010-07-16 15:51:08","1288","226","2017-01-23 12:29:37","0","1288","2010-07-16 15:51:08"
"125","msvc","visual-c++","2010-07-16 15:51:08","1288","694","2017-05-31 08:25:50","0","1288","2010-07-16 15:51:08"
"127","team-system","visual-studio-team-system","2010-07-16 15:51:08","1288","96","2011-02-06 11:00:01","0","1288","2010-07-16 15:51:08"
"129","visual-web","visual-web-developer","2010-07-16 15:51:08","1288","1","2016-10-18 11:11:21","0","1288","2010-07-16 15:51:08"
"130","algorithms","algorithm","2010-07-16 15:51:08","1288","2175","2017-06-08 17:56:49","0","1288","2010-07-16 15:51:08"
"131","ai","artificial-intelligence","2010-07-16 15:51:08","1288","847","2017-06-06 17:36:51","0","1288","2010-07-16 15:51:08"
"133","astar","a-star","2010-07-16 15:51:08","1288","127","2017-05-22 16:15:21","0","1288","2010-07-16 15:51:08"
"135","baseclasses","base-class","2010-07-16 15:51:08","1288","8","2016-03-01 09:38:40","0","1288","2010-07-16 15:51:08"
"136","batch-process","batch-processing","2010-07-16 15:51:08","1288","4","2015-12-24 13:54:50","0","1288","2010-07-16 15:51:08"
"148","bit-field","bit-fields","2010-07-16 15:51:08","1288","5","2014-10-16 15:02:45","0","1288","2010-07-16 15:51:08"
"153","code-snippet","code-snippets","2010-07-16 15:51:08","1288","25","2017-06-05 17:01:23","0","1288","2010-07-16 15:51:08"
"156","snippets","code-snippets","2010-07-16 15:51:08","1288","143","2017-05-28 23:03:44","0","1288","2010-07-16 15:51:08"
"157","snippet","code-snippets","2010-07-16 15:51:08","1288","187","2017-06-05 10:10:14","0","1288","2010-07-16 15:51:08"
"158","code-style","coding-style","2010-07-16 15:51:08","1288","114","2017-04-12 20:40:46","0","1288","2010-07-16 15:51:08"
"159","programming-style","coding-style","2010-07-16 15:51:08","1288","18","2015-06-16 20:42:51","0","1288","2010-07-16 15:51:08"
"160","xsrf","csrf","2010-07-16 15:51:08","1288","58","2017-05-18 15:25:34","0","1288","2010-07-16 15:51:08"
"162","dal","data-access-layer","2010-07-16 15:51:08","1288","149","2017-05-19 01:52:11","0","1288","2010-07-16 15:51:08"
"164","di","dependency-injection","2010-07-16 15:51:08","1288","254","2017-05-20 13:59:27","0","1288","2010-07-16 15:51:08"
"167","discussions","discussion","2010-07-16 15:51:08","1288","6","2012-02-13 11:59:10","0","1288","2010-07-16 15:51:08"
"168","discuss","discussion","2010-07-16 15:51:08","1288","2","2011-04-14 14:26:43","0","1288","2010-07-16 15:51:08"
"169","conversation","discussion","2010-07-16 15:51:08","1288","33","2012-02-21 07:57:55","0","1288","2010-07-16 15:51:08"
"170","conversations","discussion","2010-07-16 15:51:08","1288","7","2011-04-09 18:48:28","0","1288","2010-07-16 15:51:08"
"171","ddd","domain-driven-design","2010-07-16 15:51:08","1288","1134","2017-06-05 01:47:27","0","1288","2010-07-16 15:51:08"
"173","drag-drop","drag-and-drop","2010-07-16 15:51:08","1288","21","2017-03-07 14:36:11","0","1288","2010-07-16 15:51:08"
"176","dont-repeat-yourself","dry","2010-07-16 15:51:08","1288","7","2014-03-01 22:04:40","0","1288","2010-07-16 15:51:08"
"177","daylight-savings","dst","2010-07-16 15:51:08","1288","35","2016-11-21 11:57:05","0","1288","2010-07-16 15:51:08"
"178","daylight-savings-time","dst","2010-07-16 15:51:08","1288","45","2016-10-14 16:15:22","0","1288","2010-07-16 15:51:08"
"179","daylight","dst","2010-07-16 15:51:08","1288","45","2017-06-05 13:10:53","0","1288","2010-07-16 15:51:08"
"180","duplicate","duplicates","2010-07-16 15:51:08","1288","2170","2017-06-10 23:31:41","0","1288","2010-07-16 15:51:08"
"181","fix-protocol","fix","2010-07-16 15:51:08","1288","6","2013-07-03 23:05:52","0","1288","2010-07-16 15:51:08"
"184","font","fonts","2010-07-16 15:51:08","1288","3966","2017-06-10 10:00:44","0","1288","2010-07-16 15:51:08"
"185","fractal","fractals","2010-07-16 15:51:08","1288","135","2017-05-23 18:32:01","0","1288","2010-07-16 15:51:08"
"186","programming-history","history","2010-07-16 15:51:08","1288","8","2015-11-01 22:50:01","0","1288","2010-07-16 15:51:08"
"188","icon","icons","2010-07-16 15:51:08","1288","2469","2017-06-08 14:17:51","0","1288","2010-07-16 15:51:08"
"190","if","if-statement","2010-07-16 15:51:08","1288","7792","2017-06-10 20:17:39","0","1288","2010-07-16 15:51:08"
"194","inheritence","inheritance","2010-07-16 15:51:08","1288","336","2017-06-07 09:05:20","0","1288","2010-07-16 15:51:08"
"195","i18n","internationalization","2010-07-16 15:51:08","1288","2133","2017-06-09 17:16:43","0","1288","2010-07-16 15:51:08"
"196","ioc","inversion-of-control","2010-07-16 15:51:08","1288","784","2017-06-07 13:22:33","0","1288","2010-07-16 15:51:08"
"197","interprocess-communicatio","ipc","2010-07-16 15:51:08","1288","39","2011-06-06 06:04:05","0","1288","2010-07-16 15:51:08"
"200","key-binding","key-bindings","2010-07-16 15:51:08","1288","15","2016-08-03 14:16:39","0","1288","2010-07-16 15:51:08"
"201","licence","licensing","2010-07-16 15:51:08","1288","149","2017-05-23 13:15:03","0","1288","2010-07-16 15:51:08"
"202","licences","licensing","2010-07-16 15:51:08","1288","12","2014-02-24 22:09:17","0","1288","2010-07-16 15:51:08"
"203","licence-agreement","licensing","2010-07-16 15:51:08","1288","10","2014-05-19 11:14:56","0","1288","2010-07-16 15:51:08"
"204","licence-agreements","licensing","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"205","license","licensing","2010-07-16 15:51:08","1288","880","2017-05-28 04:55:53","0","1288","2010-07-16 15:51:08"
"206","licenses","licensing","2010-07-16 15:51:08","1288","51","2017-04-01 05:56:05","0","1288","2010-07-16 15:51:08"
"207","license-agreement","licensing","2010-07-16 15:51:08","1288","6","2013-07-26 15:02:28","0","1288","2010-07-16 15:51:08"
"208","license-agreements","licensing","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"209","l10n","localization","2010-07-16 15:51:08","1288","245","2017-04-11 13:10:32","0","1288","2010-07-16 15:51:08"
"210","liskov-substitution","lsp","2010-07-16 15:51:08","1288","22","2015-04-25 23:45:30","0","1288","2010-07-16 15:51:08"
"211","liskov-substitution-prin","lsp","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"212","liskov-substitution-princ","lsp","2010-07-16 15:51:08","1288","3","2011-08-04 08:06:06","0","1288","2010-07-16 15:51:08"
"213","mac-addr","mac-address","2010-07-16 15:51:08","1288","1","2016-04-21 23:15:17","0","1288","2010-07-16 15:51:08"
"215","marshaling","marshalling","2010-07-16 15:51:08","1288","67","2017-01-24 16:16:04","0","1288","2010-07-16 15:51:08"
"216","marshal","marshalling","2010-07-16 15:51:08","1288","193","2017-04-21 07:40:45","0","1288","2010-07-16 15:51:08"
"219","method-chains","method-chaining","2010-07-16 15:51:08","1288","8","2010-11-24 10:23:41","0","1288","2010-07-16 15:51:08"
"220","method-chain","method-chaining","2010-07-16 15:51:08","1288","6","2015-07-14 18:06:49","0","1288","2010-07-16 15:51:08"
"221","operator","operator-keyword","2010-07-16 15:51:08","1288","2122","2017-06-07 10:29:13","0","1288","2010-07-16 15:51:08"
"223","plugin","plugins","2010-07-16 15:51:08","1288","9619","2017-06-11 06:17:18","0","1288","2010-07-16 15:51:08"
"226","regexp","regex","2010-07-16 15:51:08","1288","2652","2017-06-06 22:08:34","0","1288","2010-07-16 15:51:08"
"227","regular-expression","regex","2010-07-16 15:51:08","1288","2510","2017-06-08 17:36:26","0","1288","2010-07-16 15:51:08"
"228","regular-expressions","regex","2010-07-16 15:51:08","1288","1274","2017-05-07 12:31:59","0","1288","2010-07-16 15:51:08"
"231","single-responsibility","srp","2010-07-16 15:51:08","1288","12","2016-12-03 06:43:47","0","1288","2010-07-16 15:51:08"
"232","single-responsibility-pri","srp","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"233","template","templates","2010-07-16 15:51:08","1288","8823","2017-06-10 12:16:47","0","1288","2010-07-16 15:51:08"
"240","ux","user-experience","2010-07-16 15:51:08","1288","259","2017-05-31 13:23:41","0","1288","2010-07-16 15:51:08"
"241","units-of-measure","units-of-measurement","2010-07-16 15:51:08","1288","8","2014-06-09 12:00:35","0","1288","2010-07-16 15:51:08"
"242","units","units-of-measurement","2010-07-16 15:51:08","1288","106","2017-05-17 01:52:12","0","1288","2010-07-16 15:51:08"
"243","windows-api","winapi","2010-07-16 15:51:08","1288","222","2017-02-19 05:59:38","0","1288","2010-07-16 15:51:08"
"246","asp-net","asp.net","2010-07-16 15:51:08","1288","216","2017-04-17 13:50:04","0","1288","2010-07-16 15:51:08"
"247","asp-net-mvc","asp.net-mvc","2010-07-16 15:51:08","1288","180","2017-06-02 17:44:52","0","1288","2010-07-16 15:51:08"
"248","asp-net-mvc2","asp.net-mvc-2","2010-07-16 15:51:08","1288","260","2011-09-09 10:23:38","0","1288","2010-07-16 15:51:08"
"250","asp.net-mvc2","asp.net-mvc-2","2010-07-16 15:51:08","1288","300","2014-09-16 17:13:41","0","1288","2010-07-16 15:51:08"
"251","mvc2","asp.net-mvc-2","2010-07-16 15:51:08","1288","791","2017-05-02 13:10:26","0","1288","2010-07-16 15:51:08"
"255","c#.net","c#","2010-07-16 15:51:08","1288","3203","2017-06-11 00:57:18","0","1288","2010-07-16 15:51:08"
"263","ef","entity-framework","2010-07-16 15:51:08","1288","1160","2017-06-09 22:48:50","0","1288","2010-07-16 15:51:08"
"264","ef4","entity-framework-4","2010-07-16 15:51:08","1288","481","2017-02-11 16:28:46","0","1288","2010-07-16 15:51:08"
"266","window-form","winforms","2010-07-16 15:51:08","1288","10","2016-01-11 08:58:33","0","1288","2010-07-16 15:51:08"
"267","windows-form","winforms","2010-07-16 15:51:08","1288","104","2017-05-12 16:12:51","0","1288","2010-07-16 15:51:08"
"268","window-forms","winforms","2010-07-16 15:51:08","1288","11","2016-09-13 12:31:00","0","1288","2010-07-16 15:51:08"
"270","windows-form-designer","windows-forms-designer","2010-07-16 15:51:08","1288","7","2010-11-25 08:46:05","0","1288","2010-07-16 15:51:08"
"271","app.config","app-config","2010-07-16 15:51:08","1288","534","2017-06-10 06:26:05","0","1288","2010-07-16 15:51:08"
"273","bdb","berkeley-db","2010-07-16 15:51:08","1288","27","2016-04-29 04:06:38","0","1288","2010-07-16 15:51:08"
"275","bdbje","berkeley-db-je","2010-07-16 15:51:08","1288","4","2011-05-26 17:35:53","0","1288","2010-07-16 15:51:08"
"278","clustered-indexing","clustered-index","2010-07-16 15:51:08","1288","1","2011-03-29 14:56:13","0","1288","2010-07-16 15:51:08"
"279","cte","common-table-expression","2010-07-16 15:51:08","1288","290","2017-06-09 13:37:42","0","1288","2010-07-16 15:51:08"
"281","multiple-primary-keys","composite-primary-key","2010-07-16 15:51:08","1288","10","2014-05-08 16:18:43","0","1288","2010-07-16 15:51:08"
"282","databases","database","2010-07-16 15:51:08","1288","1162","2017-06-09 17:05:04","0","1288","2010-07-16 15:51:08"
"283","data-warehousing","data-warehouse","2010-07-16 15:51:08","1288","19","2012-03-30 11:09:20","0","1288","2010-07-16 15:51:08"
"286","embedded-db","embedded-database","2010-07-16 15:51:08","1288","1","2011-05-05 17:46:45","0","1288","2010-07-16 15:51:08"
"289","oracle10g-express","oracle-xe","2010-07-16 15:51:08","1288","41","2014-01-16 16:33:31","0","1288","2010-07-16 15:51:08"
"290","oracle-express","oracle-xe","2010-07-16 15:51:08","1288","9","2011-03-27 00:00:50","0","1288","2010-07-16 15:51:08"
"293","mssql","sql-server","2010-07-16 15:51:08","1288","9205","2017-06-10 16:04:29","0","1288","2010-07-16 15:51:08"
"294","sql-express","sql-server-express","2010-07-16 15:51:08","1288","40","2017-05-23 19:05:40","0","1288","2010-07-16 15:51:08"
"298","sql-compact","sql-server-ce","2010-07-16 15:51:08","1288","65","2016-03-09 17:33:44","0","1288","2010-07-16 15:51:08"
"299","sql-server-compact","sql-server-ce","2010-07-16 15:51:08","1288","79","2017-01-17 12:40:08","0","1288","2010-07-16 15:51:08"
"300","sql-mobile","sql-server-ce","2010-07-16 15:51:08","1288","2","2013-06-15 00:05:35","0","1288","2010-07-16 15:51:08"
"302","stored-procedure","stored-procedures","2010-07-16 15:51:08","1288","360","2017-06-05 13:49:51","0","1288","2010-07-16 15:51:08"
"303","sproc","stored-procedures","2010-07-16 15:51:08","1288","61","2017-03-13 16:06:47","0","1288","2010-07-16 15:51:08"
"304","subqueries","subquery","2010-07-16 15:51:08","1288","97","2017-05-31 05:52:32","0","1288","2010-07-16 15:51:08"
"313","os","operating-system","2010-07-16 15:51:08","1288","2370","2017-06-10 16:50:15","0","1288","2010-07-16 15:51:08"
"314","operating-systems","operating-system","2010-07-16 15:51:08","1288","88","2017-05-08 21:19:52","0","1288","2010-07-16 15:51:08"
"315","macos10.6","osx-snow-leopard","2010-07-16 15:51:08","1288","151","2011-08-06 05:44:51","0","1288","2010-07-16 15:51:08"
"316","snow-leopard","osx-snow-leopard","2010-07-16 15:51:08","1288","224","2015-06-29 09:39:35","0","1288","2010-07-16 15:51:08"
"317","wince","windows-ce","2010-07-16 15:51:08","1288","475","2017-04-27 17:05:43","0","1288","2010-07-16 15:51:08"
"319","win2k3","windows-server-2003","2010-07-16 15:51:08","1288","6","2010-12-21 01:09:10","0","1288","2010-07-16 15:51:08"
"320","server-2003","windows-server-2003","2010-07-16 15:51:08","1288","7","2015-02-06 08:18:12","0","1288","2010-07-16 15:51:08"
"321","win2k8","windows-server-2008","2010-07-16 15:51:08","1288","27","2015-06-19 07:37:56","0","1288","2010-07-16 15:51:08"
"322","vista","windows-vista","2010-07-16 15:51:08","1288","415","2016-12-10 10:25:18","0","1288","2010-07-16 15:51:08"
"325","winxp","windows-xp","2010-07-16 15:51:08","1288","76","2017-01-30 11:07:09","0","1288","2010-07-16 15:51:08"
"327","win7","windows-7","2010-07-16 15:51:08","1288","582","2017-05-29 14:13:44","0","1288","2010-07-16 15:51:08"
"328","windows-7-api","windows-7","2010-07-16 15:51:08","1288","9","2011-06-01 23:36:07","0","1288","2010-07-16 15:51:08"
"335","team-foundation-server","tfs","2010-07-16 15:51:08","1288","293","2017-05-10 17:10:13","0","1288","2010-07-16 15:51:08"
"336","team-foundation","tfs","2010-07-16 15:51:08","1288","20","2013-05-28 14:14:22","0","1288","2010-07-16 15:51:08"
"337","team-foundation-build","tfsbuild","2010-07-16 15:51:08","1288","21","2011-05-11 11:42:02","0","1288","2010-07-16 15:51:08"
"339","revision-control","version-control","2010-07-16 15:51:08","1288","71","2016-05-08 21:44:50","0","1288","2010-07-16 15:51:08"
"340","scm","version-control","2010-07-16 15:51:08","1288","436","2017-06-09 10:48:31","0","1288","2010-07-16 15:51:08"
"341","source-code-management","version-control","2010-07-16 15:51:08","1288","42","2017-02-01 09:35:26","0","1288","2010-07-16 15:51:08"
"342","vss","visual-sourcesafe","2010-07-16 15:51:08","1288","234","2017-05-10 06:53:10","0","1288","2010-07-16 15:51:08"
"343","as3","actionscript-3","2010-07-16 15:51:08","1288","9236","2017-06-07 19:21:01","0","1288","2010-07-16 15:51:08"
"344","adobe-flex","flex","2010-07-16 15:51:08","1288","89","2014-12-08 10:13:40","0","1288","2010-07-16 15:51:08"
"346","adobe-flex-2","flex-2","2010-07-16 15:51:08","1288","0","","0","1288","2010-07-16 15:51:08"
"351","golang","go","2010-07-16 15:51:08","1288","3522","2017-06-11 05:00:02","0","1288","2010-07-16 15:51:08"
"352","go-language","go","2010-07-16 15:51:08","1288","19","2014-07-05 11:09:14","0","1288","2010-07-16 15:51:08"
"366","chrome","google-chrome","2010-07-16 15:51:08","1288","13475","2017-06-11 03:51:12","0","1288","2010-07-16 15:51:08"
"368","ie6","internet-explorer-6","2010-07-16 15:51:08","1288","1121","2017-03-04 13:01:19","0","1288","2010-07-16 15:51:08"
"371","ie7","internet-explorer-7","2010-07-16 15:51:08","1288","1789","2017-03-04 13:01:19","0","1288","2010-07-16 15:51:08"
"374","ie8","internet-explorer-8","2010-07-16 15:51:08","1288","2792","2017-03-04 13:01:19","0","1288","2010-07-16 15:51:08"
"377","ie9","internet-explorer-9","2010-07-16 15:51:08","1288","1397","2017-06-08 09:57:55","0","1288","2010-07-16 15:51:08"
"380","weblogic-9","weblogic-9.x","2010-07-17 01:51:02","1288","0","","0","1288","2010-07-17 01:51:02"
"382","timezones","timezone","2010-07-17 01:54:19","1288","92","2017-06-01 16:34:48","0","1288","2010-07-17 01:54:19"
"383","timezoneinfo","timezone","2010-07-17 01:55:27","1288","58","2016-12-12 08:08:03","0","1288","2010-07-17 01:55:27"
"384","web.config","web-config","2010-07-17 01:57:25","1288","2223","2017-06-08 16:49:22","0","1288","2010-07-17 01:57:25"
"385","transact-sql","tsql","2010-07-17 01:58:12","1288","182","2017-05-31 18:12:35","0","1288","2010-07-17 01:58:12"
"387","chrome-os","google-chrome-os","2010-07-17 02:01:20","1288","12","2017-03-23 22:36:57","0","1288","2010-07-17 02:01:20"
"388",".hgignore","hgignore","2010-07-17 02:02:53","1288","14","2012-06-11 01:44:40","0","1288","2010-07-17 02:02:53"
"390","multi-threaded","multithreading","2010-07-17 12:26:24","1288","26","2017-01-12 01:22:00","0","1288","2010-07-17 12:26:24"
"392","h264","h.264","2010-07-18 10:00:31","23354","591","2017-05-23 10:43:02","0","23354","2010-07-18 10:00:31"
"393","msil","cil","2010-07-18 10:13:25","23354","229","2017-05-06 18:46:20","0","23354","2010-07-18 10:13:25"
"394","aws","amazon-web-services","2010-07-19 03:00:58","1","7066","2017-06-10 22:43:27","0","1","2010-07-19 03:00:58"
"397","redemption","outlook-redemption","2010-07-22 06:54:19","168225","40","2017-03-28 08:42:11","2","298479","2012-07-25 12:56:25"
"404","vs2008sp1","visual-studio-2008-sp1","2010-07-22 07:30:17","168225","115","2013-03-13 19:26:48","3","-1","2010-07-22 20:06:55"
"407","ios-4.0","ios4","2010-07-22 07:34:48","168225","3","2011-10-16 22:14:43","3","-1","2010-07-23 16:31:17"
"410","google-maps-v3","google-maps-api-3","2010-07-22 08:50:17","222908","123","2015-05-09 15:31:18","3","-1","2010-07-26 18:12:26"
"412","android-mobile","android","2010-07-22 10:33:05","95313","32","2017-02-25 17:23:19","3","-1","2010-07-23 16:14:58"
"413","google-maps-api","google-maps","2010-07-22 11:31:06","73488","686","2017-05-28 01:22:35","3","-1","2010-07-22 22:00:11"
"414","python-2","python-2.x","2010-07-22 12:46:42","12855","19","2017-04-07 20:50:41","3","-1","2010-07-29 04:29:20"
"419","wf","workflow-foundation","2010-07-22 13:47:43","45773","205","2017-05-18 12:41:53","4","-1","2010-08-16 07:59:21"
"420","subversion","svn","2010-07-22 13:50:15","2598","3338","2017-06-07 13:55:57","3","-1","2010-07-22 20:05:23"
"423","wf-4","workflow-foundation-4","2010-07-22 13:53:08","45773","1","2011-03-02 22:53:04","3","-1","2010-07-29 04:38:14"
"424","rstats","r","2010-07-22 14:13:12","172261","135","2017-06-01 14:48:57","3","-1","2010-07-23 16:26:11"
"427","windows-sidebar","windows-desktop-gadgets","2010-07-22 14:42:45","94197","4","2011-05-16 08:48:39","4","-1","2010-10-01 19:37:57"
"429","server-2008","windows-server-2008","2010-07-22 14:54:46","56338","19","2017-06-07 23:18:38","4","-1","2010-09-15 19:40:12"
"430","vs.net","visual-studio","2010-07-22 15:25:05","76337","119","2017-06-05 13:57:12","-1","1288","2010-07-30 00:36:13"
"431","socket","sockets","2010-07-22 15:59:33","106671","10733","2017-06-10 22:31:04","3","-1","2010-07-23 16:25:20"
"432","socket-programming","sockets","2010-07-22 15:59:41","106671","164","2017-05-04 18:56:37","3","-1","2010-07-29 04:35:14"
"437","my-sql","mysql","2010-07-22 18:09:39","222908","49","2017-05-29 07:23:41","3","-1","2010-07-24 15:28:36"
"438","restful","rest","2010-07-22 18:11:27","222908","2288","2017-06-10 01:18:20","3","-1","2010-07-23 15:59:21"
"440","microsoft-office","ms-office","2010-07-22 18:58:19","168225","68","2016-12-06 18:10:30","3","-1","2010-07-24 21:55:59"
"442",".net4",".net-4.0","2010-07-22 19:02:59","76337","647","2017-03-10 18:34:44","3","-1","2010-07-23 15:52:47"
"444","asp.mvc","asp.net-mvc","2010-07-22 19:04:57","76337","97","2017-05-21 12:21:55","3","-1","2010-07-23 19:03:44"
"445","winform","winforms","2010-07-22 19:05:40","76337","3019","2017-06-10 12:41:11","3","-1","2010-07-24 22:02:39"
"446","ce","windows-ce","2010-07-22 19:31:44","56338","135","2017-04-07 11:57:39","0","1228","2011-03-28 13:45:05"
"449","fourier-transform","fft","2010-07-22 19:39:59","97160","73","2016-12-23 10:38:04","4","-1","2010-09-23 14:34:38"
"450","objc","objective-c","2010-07-22 19:52:45","25646","1238","2017-06-09 06:13:24","3","-1","2010-07-29 04:25:04"
"451","accessviolationexception","access-violation","2010-07-22 19:54:11","56338","116","2017-06-09 07:21:12","3","-1","2010-07-29 03:03:02"
"452","stlstring","stdstring","2010-07-22 19:58:18","56338","0","","4","-1","2012-05-12 03:07:00"
